Tree,Asset 1,Asset 2,Family,Kendall's Tau,DF
4,NPN,SBK,student,0.0477,15.784086491540384
4,INL,BTI,student,0.0118,18.98879035222825
4,BTI,NPN,student,0.0175,19.0697165145194
4,NPN,NED,student,0.0241,17.230085393808974
4,NED,SBK,gaussian,0.0449,
4,SBK,FSR,student,0.0218,9.607608658157345
4,SBK,FSR,student,0.03,19.980758602017016
4,REM,BVT,student,0.0768,10.154776331144323
4,FSR,SLM,gaussian,0.0355,
4,SLM,REM,gaussian,0.0264,
4,REM,SBK,gaussian,0.0625,
4,REM,SBK,gaussian,0.0142,
4,SBK,BVT,student,0.0813,10.725220402442387
4,BVT,SBK,student,0.078,16.848145951812903
4,SBK,NED,student,0.0891,11.532541058818586
4,NED,INL,student,0.0745,9.226845352128224
4,INL,ABG,student,0.1293,10.024835071478883
4,ABG,TFG,student,0.0621,11.318492431191236
4,TFG,MRP,student,0.0731,13.907900841071829
4,MRP,TRU,student,0.0401,19.6836645876463
4,ABG,MRP,gaussian,0.0106,
4,TFG,RLO,gaussian,0.0332,
4,WHL,SHP,gaussian,0.0269,
4,RLO,MRP,gaussian,0.0745,
4,MRP,TRU,student,0.035,15.418228236152357
4,TRU,WHL,student,0.057,17.537919257388186
4,TRU,WHL,student,0.0397,15.754142568195356
4,WHL,SHP,student,0.1277,9.216789424685704
4,SHP,SPP,gaussian,0.0693,
4,TRU,WHL,gaussian,0.0033,
4,SPP,WHL,gaussian,0.0007,
4,WHL,TFG,gaussian,-0.0073,
4,WHL,TRU,gaussian,0.0302,
4,TFG,SHP,gaussian,-0.0123,
4,TRU,TFG,student,0.0745,17.446501482854078
4,SHP,SPP,gaussian,0.0051,
4,TFG,SPP,student,0.0986,13.941493307488694
5,BVT,SLM,gaussian,0.0389,
5,SLM,NPK,student,0.0685,11.270489548106793
5,SPG,FSR,gaussian,0.0034,
5,FSR,OUT,student,0.031,15.47829402298119
5,NED,BVT,student,0.0486,14.120866195297117
5,PPC,KAP,gaussian,-0.0003,
5,KAP,DTC,gaussian,0.0201,
5,DTC,NPN,student,0.016,17.565532652117636
5,NPN,SBK,gaussian,0.0449,
5,DTC,SBK,gaussian,-0.0088,
5,SLM,DSY,gaussian,0.0332,
5,DSY,OUT,student,0.0504,11.956879479847467
5,OUT,REM,student,0.0214,15.956726954669483
5,REM,BVT,student,0.0553,16.108344437259994
5,SBK,FSR,student,0.0355,20.72636128225114
5,BTI,NPN,gaussian,-0.0039,
5,NPN,NED,student,-0.0126,15.554582396679047
5,NED,SBK,student,-0.0443,11.05623087132534
5,SBK,FSR,student,0.0369,16.497109432025482
5,FSR,PPC,student,-0.0258,10.152531258958296
5,FSR,SLM,gaussian,0.0285,
5,BVT,SBK,gaussian,0.0403,
5,SLM,REM,student,0.0729,16.80457445062047
5,REM,SBK,gaussian,0.0299,
5,SBK,BVT,student,0.0371,22.22959388661867
5,SBK,BVT,gaussian,-0.0105,
5,BVT,DSY,gaussian,0.0424,
5,SBK,NED,student,0.0395,13.869959152027782
5,NED,INL,student,0.0599,11.568263568292243
5,INL,ABG,student,0.1116,9.489183955701247
5,ABG,TFG,student,0.0524,13.41368764993027
5,TFG,MRP,student,0.031,12.56874390283851
5,MRP,TRU,student,0.0489,19.45380846097357
5,TRU,WHL,gaussian,0.0424,
5,MRP,WBO,gaussian,0.0151,
5,RLO,MRP,student,0.0443,17.298449467954228
5,SHP,SPP,gaussian,0.0308,
5,MRP,TRU,gaussian,0.0219,
5,TRU,WHL,student,0.0441,14.267360193592172
5,WHL,SHP,gaussian,0.0439,
5,WHL,SHP,student,0.0777,22.502678436128047
5,SHP,SPP,student,0.1338,13.873605362616551
5,SPP,PIK,student,0.0605,12.718061694298395
5,WHL,TFG,gaussian,-0.0233,
5,WHL,TRU,gaussian,-0.0082,
5,TFG,SHP,gaussian,0.0106,
5,TRU,TFG,gaussian,-0.0053,
5,SHP,SPP,gaussian,0.0063,
5,TFG,ACT,gaussian,0.0391,
5,SPP,ACT,student,0.0191,20.9964936314042
6,SLM,NPK,student,0.0287,18.834532007927674
6,NPK,DSY,student,0.0334,15.101998691146786
6,FSR,OUT,gaussian,0.0068,
6,OUT,REM,gaussian,0.0281,
6,BVT,DSY,student,0.036,14.958810415590376
6,KAP,DTC,student,0.0074,21.104899329919295
6,DTC,NPN,student,0.0035,15.11251639826173
6,NPN,SBK,gaussian,0.0093,
6,SBK,ART,student,0.0297,14.164661070805339
6,SBK,FSR,gaussian,0.0083,
6,DSY,OUT,gaussian,0.0404,
6,OUT,MTM,student,0.0443,15.956342298162054
6,REM,BVT,student,0.0349,15.03392517209435
6,BVT,SBK,student,0.0436,17.40001538797414
6,FSR,SLM,gaussian,0.0076,
6,NPN,NED,gaussian,-0.0064,
6,NED,SBK,student,-0.0096,18.543873030591598
6,SBK,FSR,gaussian,-0.028,
6,FSR,PPC,student,0.0102,20.874967293220212
6,PPC,SLM,gaussian,0.0065,
6,SLM,REM,gaussian,0.0361,
6,SBK,NED,student,0.0552,16.1031680940318
6,REM,BVT,gaussian,0.0532,
6,SBK,BVT,gaussian,0.0276,
6,BVT,DSY,student,0.0474,18.358944387855445
6,BVT,DSY,gaussian,-0.0021,
6,DSY,NED,student,0.0424,13.830873753238961
6,NED,INL,student,0.0416,16.66487081408539
6,INL,ABG,student,0.0387,18.570386114710796
6,ABG,TFG,student,0.0414,16.835403414553838
6,TFG,MRP,student,0.0853,14.801284013332644
6,MRP,TRU,student,0.0266,10.730403687258745
6,TRU,WHL,gaussian,0.0302,
6,WHL,SHP,gaussian,0.0371,
6,WBO,TRU,student,-0.0089,17.42889081992358
6,MRP,TRU,gaussian,0.0071,
6,SPP,PIK,gaussian,-0.0126,
6,TRU,WHL,student,0.0203,15.197014520904775
6,WHL,SHP,gaussian,0.0292,
6,SHP,SPP,student,0.0311,13.540122971635363
6,SHP,SPP,student,0.1161,17.728616402001414
6,SPP,PIK,student,0.062,19.84748842608342
6,PIK,AFT,student,0.0471,23.343643518805656
6,TFG,SHP,gaussian,0.0155,
6,TRU,TFG,gaussian,0.0,
6,SHP,SPP,gaussian,-0.018,
6,TFG,ACT,gaussian,0.0151,
6,SPP,PIK,gaussian,-0.0038,
6,ACT,PIK,gaussian,0.0202,
7,NPK,DSY,gaussian,0.0099,
7,DSY,OUT,student,0.032,12.765547334484221
7,OUT,REM,gaussian,0.0096,
7,REM,BVT,student,0.037,13.998443721171979
7,DSY,OUT,student,0.0619,12.726573833604155
7,DTC,NPN,gaussian,0.0085,
7,NPN,SBK,gaussian,0.0165,
7,SBK,ART,gaussian,0.0274,
7,ART,FSR,student,0.0089,13.049151625033238
7,FSR,SLM,gaussian,0.0038,
7,OUT,MTM,gaussian,0.0049,
7,MTM,SBK,student,0.0683,13.206448060334287
7,BVT,SBK,student,0.0495,19.525376969712106
7,SBK,NED,student,0.0608,12.28423336526773
7,SLM,REM,student,0.0298,16.306545041462435
7,NED,SBK,gaussian,-0.0089,
7,SBK,FSR,gaussian,-0.0251,
7,FSR,PPC,gaussian,-0.0073,
7,PPC,SLM,student,0.0617,12.081865382723858
7,SLM,REM,student,-0.0037,14.633977040271068
7,REM,BVT,gaussian,0.0271,
7,NED,INL,student,0.0235,17.630025354780706
7,BVT,DSY,gaussian,0.0321,
7,BVT,DSY,gaussian,0.0119,
7,DSY,NED,student,0.0555,17.13416463761886
7,DSY,NED,gaussian,0.0096,
7,NED,INL,student,0.0268,21.679629408205965
7,INL,ABG,student,0.0406,13.311896943142562
7,ABG,TFG,student,0.0407,21.163703228159104
7,TFG,MRP,student,0.0518,19.281116509116988
7,MRP,TRU,student,0.074,17.134113266860183
7,TRU,WHL,gaussian,0.0201,
7,WHL,SHP,student,0.0411,17.050773502224587
7,SHP,RLO,gaussian,0.0368,
7,TRU,ADH,gaussian,-0.0008,
7,TRU,WHL,gaussian,0.0105,
7,PIK,AFT,gaussian,0.0066,
7,WHL,SHP,student,0.0105,20.988439484157944
7,SHP,SPP,gaussian,0.0327,
7,SPP,CLS,gaussian,0.0169,
7,SPP,PIK,gaussian,0.0597,
7,PIK,AFT,student,0.0424,17.789388092161186
7,AFT,SEB,student,0.0117,20.061757884885097
7,SHP,SPP,gaussian,-0.0136,
7,TFG,ACT,gaussian,0.0122,
7,SPP,PIK,gaussian,-0.0076,
7,ACT,EMH,gaussian,0.0238,
7,PIK,EMH,gaussian,0.0137,
8,DSY,OUT,student,0.0349,19.70746104998163
8,OUT,MTM,student,0.0198,19.62330356967729
8,REM,BVT,gaussian,-0.0029,
8,BVT,SBK,gaussian,0.0455,
8,OUT,MTM,gaussian,0.0063,
8,NPN,SBK,gaussian,0.0177,
8,SBK,ART,gaussian,-0.0139,
8,ART,FSR,gaussian,0.0128,
8,FSR,SLM,gaussian,0.0045,
8,SLM,REM,gaussian,0.0145,
8,MTM,SBK,gaussian,0.0282,
8,SBK,SPG,gaussian,0.0256,
8,SBK,NED,gaussian,0.0186,
8,NED,INL,student,0.0241,16.8638698425624
8,REM,BVT,gaussian,0.0325,
8,SBK,FSR,gaussian,0.0054,
8,FSR,PPC,gaussian,0.004,
8,PPC,SLM,gaussian,0.0161,
8,SLM,REM,student,0.0288,14.905531285912767
8,REM,BVT,student,0.012,16.318582781555317
8,BVT,DSY,student,0.0139,18.00075324588521
8,INL,NPN,gaussian,0.0435,
8,DSY,MTN,gaussian,0.0361,
8,DSY,NED,gaussian,0.0135,
8,NED,HDC,gaussian,-0.0012,
8,NED,INL,gaussian,0.0187,
8,INL,ABG,student,0.0378,21.661288465950417
8,ABG,TFG,student,0.039,21.551203526205025
8,TFG,MRP,student,0.0835,21.62930206997104
8,MRP,TRU,student,0.0545,19.40157659830847
8,TRU,WHL,student,0.0255,24.20066845441418
8,WHL,SHP,student,0.0365,19.482422647052797
8,SHP,RLO,student,0.0573,13.615792945642465
8,RLO,WBO,gaussian,0.0166,
8,ADH,WHL,gaussian,-0.0048,
8,WHL,SHP,gaussian,0.0161,
8,AFT,SBK,gaussian,0.0211,
8,SHP,SPP,gaussian,-0.0157,
8,SPP,CLS,gaussian,0.0312,
8,CLS,PIK,gaussian,0.0024,
8,PIK,AFT,student,0.0376,16.434885297179683
8,AFT,SEB,gaussian,0.0159,
8,SEB,ACT,gaussian,-0.0126,
8,SPP,PIK,gaussian,-0.0167,
8,ACT,EMH,gaussian,0.0178,
8,PIK,AFT,gaussian,-0.0017,
8,EMH,AFT,gaussian,0.0023,
9,OUT,MTM,gaussian,-0.012,
9,MTM,SBK,student,0.0222,14.38791247637229
9,BVT,SBK,gaussian,0.0083,
9,SBK,NTC,gaussian,-0.0007,
9,MTM,SPG,student,0.0206,16.283204762255263
9,SBK,ART,gaussian,0.0029,
9,ART,FSR,student,0.0209,17.417075139559895
9,FSR,SLM,gaussian,0.017,
9,SLM,REM,gaussian,0.0233,
9,REM,BVT,gaussian,0.0108,
9,SBK,SPG,gaussian,0.0119,
9,SPG,NED,gaussian,0.0199,
9,NED,INL,gaussian,0.0099,
9,INL,NPN,student,0.0528,10.717677673197027
9,BVT,DSY,student,0.0252,15.66682678499927
9,FSR,PPC,gaussian,0.0019,
9,PPC,SLM,student,-0.0007,14.178017785396131
9,SLM,REM,student,0.0229,18.068577060630446
9,REM,BVT,student,0.0006,19.72220080668604
9,BVT,DSY,gaussian,-0.0229,
9,DSY,OUT,student,0.0235,21.2935275088812
9,NPN,MTN,gaussian,0.0339,
9,MTN,HDC,gaussian,0.0285,
9,NED,HDC,gaussian,0.0212,
9,HDC,INL,gaussian,-0.0025,
9,INL,ABG,student,0.0217,20.389393274571812
9,ABG,TFG,gaussian,0.0296,
9,TFG,MRP,gaussian,0.0455,
9,MRP,TRU,gaussian,0.0733,
9,TRU,WHL,student,0.0277,21.67759856693993
9,WHL,SHP,student,0.0368,15.218371933404603
9,SHP,RLO,gaussian,0.0253,
9,RLO,WBO,gaussian,0.0096,
9,WBO,ADH,gaussian,0.0104,
